Symbol,Name,Market_id
KTLEV.IS,KATILIMEVİM TASARRUF FİNANSMAN A.Ş.,1
KATMR.IS,KATMERCİLER ARAÇ ÜSTÜ EKİPMAN SANAYİ VE TİCARET A.Ş.,1
KAYSE.IS,KAYSERİ ŞEKER FABRİKASI A.Ş.,1
KENT.IS,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.,1
KERVT.IS,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.,1
KRVGD.IS,KERVAN GIDA SANAYİ VE TİCARET A.Ş.,1
KERVN.IS,KERVANSARAY YATIRIM HOLDİNG A.Ş.,1
KZBGY.IS,KIZILBÜK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
KLGYO.IS,KİLER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
KLRHO.IS,KİLER HOLDİNG A.Ş.,1
KMPUR.IS,KİMTEKS POLİÜRETAN SANAYİ VE TİCARET A.Ş.,1
KLMSN.IS,KLİMASAN KLİMA SANAYİ VE TİCARET A.Ş.,1
KCAER.IS,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.,1
KCHOL.IS,KOÇ HOLDİNG A.Ş.,1
KLSYN.IS,KOLEKSİYON MOBİLYA SANAYİ A.Ş.,1
KNFRT.IS,KONFRUT GIDA SANAYİ VE TİCARET A.Ş.,1
KONTR.IS,KONTROLMATİK TEKNOLOJİ ENERJİ VE MÜHENDİSLİK A.Ş.,1
KONYA.IS,KONYA ÇİMENTO SANAYİİ A.Ş.,1
KONKA.IS,KONYA KAĞIT SANAYİ VE TİCARET A.Ş.,1
KGYO.IS,KORAY GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
KORDS.IS,KORDSA TEKNİK TEKSTİL A.Ş.,1
KRPLS.IS,KOROPLAST TEMİZLİK AMBALAJ ÜRÜNLERİ SANAYİ VE DIŞ TİCARET A.Ş.,1
KOZAL.IS,KOZA ALTIN İŞLETMELERİ A.Ş.,1
KOZAA.IS,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,1
KOPOL.IS,KOZA POLYESTER SANAYİ VE TİCARET A.Ş.,1
KRGYO.IS,KÖRFEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,1
KRSTL.IS,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET A.Ş.,1
